gene_symbol,log2FoldChange,pvalue
5830432E09Rik,-0.089095617,0.99999707
Slc22a12,-0.073359223,0.99999707
Krcc1,-0.028906989,0.99999707
Mmp11,0.060342552,0.99999707
Dynlt1-ps1,-0.053329879,0.99999707
Cox6c,0.058158464,0.99999707
Gm42856,0.103570052,0.99999707
Dusp3,0.023919447,0.99999707
Gm8955,0.080779605,0.99999707
Zfp84,0.143933824,0.560093626
Gm5809,0.066949595,0.99999707
Gm38319,-0.04813566,0.99999707
Dlec1,-0.046547104,0.99999707
Pspc1,-0.030521525,0.99999707
Rnf223,0.077048476,0.99999707
Maz,0.074444354,0.99999707
A430105J06Rik,-0.076312063,0.99999707
D6Ertd527e,-0.015115947,0.99999707
Trim10,-0.172521843,0.728700775
Gm9821,0.037332251,0.99999707
H2-Q2,-0.02980818,0.99999707
Txndc12,0.076985792,0.99999707
Cyp27a1,0.084793423,0.99999707
Slc39a14,-0.02121252,0.99999707
Hsp90b1,0.022017049,0.99999707
Gm12833,0.044732168,0.99999707
Prdm15,-0.025840938,0.99999707
Gm8177,0.015642476,0.99999707
Cd36,0.01391539,0.99999707
Gm4987,-0.007838803,0.99999707
Gm24091,0.050688421,0.99999707
Gm4217,-0.06272359,0.99999707
Cog3,-0.029892239,0.99999707
Gm14038,0.15978917,0.293903013
Klrk1,0.021906342,0.99999707
Gm44709,-0.023589931,0.99999707
Lamb3,-0.129846734,0.99999707
2900009J06Rik,0.001702798,0.99999707
Zc3h14,0.046408744,0.99999707
Mettl2,-0.047741999,0.99999707
Aim1,0.034345368,0.99999707
Xpa,-0.025803332,0.99999707
Ptpn7,-0.001111952,0.99999707
Adcy4,-0.0674929,0.99999707
Gm37702,-0.037807196,0.99999707
Gh,-0.059020127,0.99999707
Polr2i,0.014878037,0.99999707
Rab28,0.05135496,0.99999707
Pgm1,0.007343044,0.99999707
Phxr4,0.212665861,0.325434992
Gm25369,-0.058392228,0.99999707
Nudt7,0.230821975,0.237225022
Ythdc1,0.121934062,0.805158911
Ppp2r2c,-0.022488991,0.99999707
Dohh,0.088938975,0.99999707
1700028J19Rik,0.049350158,0.99999707
Sulf2,-0.105841144,0.906450989
Gm27194,-0.074303198,0.99999707
Usp34,0.009334653,0.99999707
Vamp4,-0.061064793,0.99999707
Gm12568,-0.076990159,0.99999707
Glns-ps1,-0.081499881,0.99999707
Gm11464,0.031624331,0.99999707
Antxr1,-0.194815389,0.554125703
Gm42667,-0.015602283,0.99999707
Fos,0.067700735,0.99999707
A930006L05Rik,0.030888368,0.99999707
Plekhg4,0.074221533,0.99999707
Fbxo39,-0.10935417,0.99999707
Syt14,0.059588507,0.99999707
Gm11633,0.033861902,0.99999707
RP24-175C20.18,-0.110649652,0.99999707
Ncoa1,0.074059548,0.99999707
Gzf1,-0.023400895,0.99999707
Xrcc4,0.014487346,0.99999707
Cep78,-0.016949658,0.99999707
Fam195b,0.061891814,0.99999707
Gm37012,-0.150012326,0.608928234
